"India/State/ UT",Total Schools,Schools with functional Tablets availability,"Percentage of Schools with functional  Tabletsavailability",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,133633,96467,6909,28797,1460,9,9.4,8.4,8.6,3
Andaman and Nicobar Islands,416,342,2,72,0,10,2,0,8,0,2.4,0.6,0,11.1,0
Andhra Pradesh,61948,45137,1542,15058,211,8867,6493,35,2331,8,14.3,14.4,2.3,15.5,3.8
Arunachal Pradesh,3603,2985,68,503,47,82,26,3,51,2,2.3,0.9,4.4,10.1,4.3
Assam,60859,45490,3841,5852,5676,876,676,6,190,4,1.4,1.5,0.2,3.3,0.1
Bihar,93165,75558,742,8097,8768,1468,207,7,818,436,1.6,0.3,0.9,10.1,5
Chandigarh,233,123,7,76,27,69,48,1,18,2,29.6,39,14.3,23.7,7.4
Chhattisgarh,56512,48743,417,7063,289,11269,10880,6,382,1,19.9,22.3,1.4,5.4,0.4
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,17,5,1,11,0,3.7,1.3,12.5,17.5,0
Delhi,5619,2762,247,2610,0,1876,1241,11,624,0,33.4,44.9,4.5,23.9,0
Goa,1510,814,557,139,0,58,20,25,13,0,3.8,2.5,4.5,9.4,0
Gujarat,53851,34699,5590,13559,3,35807,29523,4029,2255,0,66.5,85.1,72.1,16.6,0
Haryana,23726,14562,16,8261,887,13451,12047,0,1299,105,56.7,82.7,0,15.7,11.8
Himachal Pradesh,18028,15380,0,2646,2,346,150,0,196,0,1.9,1,0,7.4,0
Jammu and Kashmir,28805,23173,1,5526,105,1923,1468,0,454,1,6.7,6.3,0,8.2,1
Jharkhand,44855,35840,1175,1559,6281,10768,10226,64,141,337,24,28.5,5.5,9,5.4
Karnataka,76450,49679,7110,19650,11,3867,1282,202,2383,0,5.1,2.6,2.8,12.1,0
Kerala,16240,5010,7183,3164,883,888,191,206,414,77,5.5,3.8,2.9,13.1,8.7
Ladakh,978,838,28,112,0,179,171,0,8,0,18.3,20.4,0,7.1,0
Lakshadweep,38,38,0,0,0,4,4,0,0,0,10.5,10.5,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,8433,5853,14,2504,62,6.7,6.3,1.9,8.3,3.4
Maharashtra,109605,65639,24037,19268,661,8566,4129,1727,2646,64,7.8,6.3,7.2,13.7,9.7
Manipur,4617,2889,583,1010,135,132,41,0,88,3,2.9,1.4,0,8.7,2.2
Meghalaya,14600,7783,4172,2120,525,263,71,130,49,13,1.8,0.9,3.1,2.3,2.5
Mizoram,3911,2563,230,1034,84,20,11,2,7,0,0.5,0.4,0.9,0.7,0
Nagaland,2718,1960,0,757,1,88,39,0,49,0,3.2,2,0,6.5,0
Odisha,62291,49072,5807,6104,1308,1301,742,59,417,83,2.1,1.5,1,6.8,6.4
Puducherry,736,422,33,281,0,58,7,3,48,0,7.9,1.7,9.1,17.1,0
Punjab,27701,19259,450,7978,14,2366,1435,6,925,0,8.5,7.5,1.3,11.6,0
Rajasthan,106373,68948,0,34826,2599,3867,1398,0,2463,6,3.6,2,0,7.1,0.2
Sikkim,1259,864,19,376,0,122,86,1,35,0,9.7,10,5.3,9.3,0
Tamil Nadu,58801,37636,8323,12396,446,8932,6758,246,1864,64,15.2,18,3,15,14.4
Telangana,43083,30023,700,12193,167,1009,211,11,785,2,2.3,0.7,1.6,6.4,1.2
Tripura,4929,4262,43,363,261,123,101,0,20,2,2.5,2.4,0,5.5,0.8
Uttar Pradesh,258054,137024,8113,97808,15109,5182,418,102,4516,146,2,0.3,1.3,4.6,1
Uttarakhand,22815,16484,608,5225,498,570,116,9,434,11,2.5,0.7,1.5,8.3,2.2
West Bengal,94744,83302,88,9750,1604,776,391,3,351,31,0.8,0.5,3.4,3.6,1.9
