"India/State/ UT",Total Schools,"Schools with Co-curricular activity room/arts andcrafts room  facility available","Percentage of Schools with Co-curricular activityroom/arts and crafts room  facility available",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,110095,30297,13936,65138,724,7.4,3,16.9,19.4,1.5
Andaman and Nicobar Islands,416,342,2,72,0,82,63,2,17,0,19.7,18.4,100,23.6,0
Andhra Pradesh,61948,45137,1542,15058,211,6859,1485,252,5117,5,11.1,3.3,16.3,34,2.4
Arunachal Pradesh,3603,2985,68,503,47,241,137,22,82,0,6.7,4.6,32.4,16.3,0
Assam,60859,45490,3841,5852,5676,1605,551,51,979,24,2.6,1.2,1.3,16.7,0.4
Bihar,93165,75558,742,8097,8768,1749,679,24,991,55,1.9,0.9,3.2,12.2,0.6
Chandigarh,233,123,7,76,27,135,66,7,59,3,57.9,53.7,100,77.6,11.1
Chhattisgarh,56512,48743,417,7063,289,3124,1984,45,1095,0,5.5,4.1,10.8,15.5,0
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,62,31,5,26,0,13.5,8,62.5,41.3,0
Delhi,5619,2762,247,2610,0,1829,809,142,878,0,32.6,29.3,57.5,33.6,0
Goa,1510,814,557,139,0,229,30,171,28,0,15.2,3.7,30.7,20.1,0
Gujarat,53851,34699,5590,13559,3,5109,441,1790,2877,1,9.5,1.3,32,21.2,33.3
Haryana,23726,14562,16,8261,887,5255,1820,12,3412,11,22.2,12.5,75,41.3,1.2
Himachal Pradesh,18028,15380,0,2646,2,1390,482,0,908,0,7.7,3.1,0,34.3,0
Jammu and Kashmir,28805,23173,1,5526,105,1335,366,1,967,1,4.6,1.6,100,17.5,1
Jharkhand,44855,35840,1175,1559,6281,1747,740,68,799,140,3.9,2.1,5.8,51.3,2.2
Karnataka,76450,49679,7110,19650,11,8664,1609,1464,5590,1,11.3,3.2,20.6,28.5,9.1
Kerala,16240,5010,7183,3164,883,2584,301,651,1600,32,15.9,6,9.1,50.6,3.6
Ladakh,978,838,28,112,0,60,37,0,23,0,6.1,4.4,0,20.5,0
Lakshadweep,38,38,0,0,0,12,12,0,0,0,31.6,31.6,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,6536,2425,114,3995,2,5.2,2.6,15.4,13.2,0.1
Maharashtra,109605,65639,24037,19268,661,11336,709,5360,5230,37,10.3,1.1,22.3,27.1,5.6
Manipur,4617,2889,583,1010,135,603,269,4,330,0,13.1,9.3,0.7,32.7,0
Meghalaya,14600,7783,4172,2120,525,331,41,151,121,18,2.3,0.5,3.6,5.7,3.4
Mizoram,3911,2563,230,1034,84,191,156,11,19,5,4.9,6.1,4.8,1.8,6
Nagaland,2718,1960,0,757,1,235,52,0,183,0,8.7,2.7,0,24.2,0
Odisha,62291,49072,5807,6104,1308,2627,1203,476,913,35,4.2,2.5,8.2,15,2.7
Puducherry,736,422,33,281,0,202,55,10,137,0,27.5,13,30.3,48.8,0
Punjab,27701,19259,450,7978,14,6693,2892,176,3625,0,24.2,15,39.1,45.4,0
Rajasthan,106373,68948,0,34826,2599,9122,2809,0,6301,12,8.6,4.1,0,18.1,0.5
Sikkim,1259,864,19,376,0,91,65,3,23,0,7.2,7.5,15.8,6.1,0
Tamil Nadu,58801,37636,8323,12396,446,5674,1888,825,2944,17,9.7,5,9.9,23.8,3.8
Telangana,43083,30023,700,12193,167,4633,1015,72,3546,0,10.8,3.4,10.3,29.1,0
Tripura,4929,4262,43,363,261,229,136,8,85,0,4.7,3.2,18.6,23.4,0
Uttar Pradesh,258054,137024,8113,97808,15109,14326,1439,1868,10720,299,5.6,1.1,23,11,2
Uttarakhand,22815,16484,608,5225,498,1646,667,125,843,11,7.2,4.1,20.6,16.1,2.2
West Bengal,94744,83302,88,9750,1604,3549,2833,26,675,15,3.8,3.4,29.6,6.9,0.9
