"India/State/ UT",Total Schools,Schools with Rain Water Harvesting  facility available,"Percentage of Schools with Rain Water Harvestingfacility available",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,312940,186082,24786,96064,6008,21,18.2,30.1,28.6,12.4
Andaman and Nicobar Islands,416,342,2,72,0,94,75,0,19,0,22.6,21.9,0,26.4,0
Andhra Pradesh,61948,45137,1542,15058,211,21518,13993,549,6928,48,34.7,31,35.6,46,22.8
Arunachal Pradesh,3603,2985,68,503,47,178,70,14,89,5,4.9,2.4,20.6,17.7,10.6
Assam,60859,45490,3841,5852,5676,3341,2857,53,387,44,5.5,6.3,1.4,6.6,0.8
Bihar,93165,75558,742,8097,8768,14347,10700,79,1984,1584,15.4,14.2,10.7,24.5,18.1
Chandigarh,233,123,7,76,27,122,68,3,47,4,52.4,55.3,42.9,61.8,14.8
Chhattisgarh,56512,48743,417,7063,289,21223,18166,175,2820,62,37.6,37.3,42,39.9,21.5
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,356,329,4,23,0,77.4,84.8,50,36.5,0
Delhi,5619,2762,247,2610,0,5043,2460,183,2400,0,89.8,89.1,74.1,92,0
Goa,1510,814,557,139,0,46,12,23,11,0,3.1,1.5,4.1,7.9,0
Gujarat,53851,34699,5590,13559,3,11985,6747,1036,4201,1,22.3,19.4,18.5,31,33.3
Haryana,23726,14562,16,8261,887,7333,4469,3,2695,166,30.9,30.7,18.8,32.6,18.7
Himachal Pradesh,18028,15380,0,2646,2,1731,1288,0,442,1,9.6,8.4,0,16.7,50
Jammu and Kashmir,28805,23173,1,5526,105,611,297,0,308,6,2.1,1.3,0,5.6,5.7
Jharkhand,44855,35840,1175,1559,6281,9106,6605,247,736,1518,20.3,18.4,21,47.2,24.2
Karnataka,76450,49679,7110,19650,11,25999,12876,2944,10177,2,34,25.9,41.4,51.8,18.2
Kerala,16240,5010,7183,3164,883,4720,1683,1698,1142,197,29.1,33.6,23.6,36.1,22.3
Ladakh,978,838,28,112,0,10,6,0,4,0,1,0.7,0,3.6,0
Lakshadweep,38,38,0,0,0,18,18,0,0,0,47.4,47.4,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,18013,9042,135,8606,230,14.3,9.8,18.2,28.4,12.8
Maharashtra,109605,65639,24037,19268,661,25003,10006,7992,6897,108,22.8,15.2,33.3,35.8,16.3
Manipur,4617,2889,583,1010,135,918,343,67,475,33,19.9,11.9,11.5,47,24.4
Meghalaya,14600,7783,4172,2120,525,1347,676,383,219,69,9.2,8.7,9.2,10.3,13.1
Mizoram,3911,2563,230,1034,84,1745,1206,93,416,30,44.6,47.1,40.4,40.2,35.7
Nagaland,2718,1960,0,757,1,825,544,0,281,0,30.4,27.8,0,37.1,0
Odisha,62291,49072,5807,6104,1308,2417,1517,193,596,111,3.9,3.1,3.3,9.8,8.5
Puducherry,736,422,33,281,0,282,126,10,146,0,38.3,29.9,30.3,52,0
Punjab,27701,19259,450,7978,14,4571,2257,78,2235,1,16.5,11.7,17.3,28,7.1
Rajasthan,106373,68948,0,34826,2599,30179,20676,0,9242,261,28.4,30,0,26.5,10
Sikkim,1259,864,19,376,0,143,118,3,22,0,11.4,13.7,15.8,5.9,0
Tamil Nadu,58801,37636,8323,12396,446,53978,34935,7370,11301,372,91.8,92.8,88.6,91.2,83.4
Telangana,43083,30023,700,12193,167,9580,5863,170,3530,17,22.2,19.5,24.3,29,10.2
Tripura,4929,4262,43,363,261,143,95,1,45,2,2.9,2.2,2.3,12.4,0.8
Uttar Pradesh,258054,137024,8113,97808,15109,31065,12380,1227,16400,1058,12,9,15.1,16.8,7
Uttarakhand,22815,16484,608,5225,498,1593,817,46,710,20,7,5,7.6,13.6,4
West Bengal,94744,83302,88,9750,1604,3357,2762,7,530,58,3.5,3.3,8,5.4,3.6
