India/State/ UT,Children With Special Needs (CWSN) enrolment,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(2),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,151384,117824,269208,57778,47190,104968,1193509,890219,2083728,1207717,899495,2107212
Andaman and Nicobar Islands,93,60,153,65,44,109,450,252,702,477,264,741
Andhra Pradesh,11317,8577,19894,1879,1319,3198,51699,36459,88158,51895,36607,88502
Arunachal Pradesh,142,227,369,63,115,178,1292,1666,2958,1318,1688,3006
Assam,1970,2143,4113,348,419,767,31335,25507,56842,32527,26363,58890
Bihar,5746,5100,10846,996,920,1916,91857,70938,162795,92181,71141,163322
Chandigarh,544,400,944,154,137,291,2269,1542,3811,2317,1574,3891
Chhattisgarh,5316,4929,10245,2210,2586,4796,41885,37455,79340,42036,37583,79619
"Dadra and Nagar Haveli andDaman and Diu",146,87,233,28,29,57,664,454,1118,672,465,1137
Delhi,2323,2206,4529,1591,1444,3035,11430,10223,21653,11992,10538,22530
Goa,617,324,941,189,111,300,2755,1562,4317,2901,1637,4538
Gujarat,4447,2773,7220,2443,1513,3956,39895,27155,67050,39909,27163,67072
Haryana,2015,1468,3483,923,663,1586,13344,8901,22245,13466,8952,22418
Himachal Pradesh,622,580,1202,417,406,823,3408,2926,6334,3475,2988,6463
Jammu and Kashmir,920,662,1582,345,391,736,9880,7219,17099,11084,7970,19054
Jharkhand,1024,1213,2237,293,530,823,19480,15836,35316,19737,16028,35765
Karnataka,11605,9330,20935,2420,1949,4369,57642,42442,100084,57880,42602,100482
Kerala,18595,10927,29522,10122,5518,15640,80171,52036,132207,81462,52761,134223
Ladakh,61,46,107,15,18,33,317,247,564,357,273,630
Lakshadweep,11,10,21,22,17,39,110,80,190,112,82,194
Madhya Pradesh,7159,5827,12986,3197,2563,5760,78804,64249,143053,79107,64453,143560
Maharashtra,21116,17116,38232,6615,5739,12354,140816,100008,240824,142386,101110,243496
Manipur,132,158,290,35,81,116,2035,2042,4077,2090,2093,4183
Meghalaya,114,115,229,88,71,159,1959,1483,3442,2215,1673,3888
Mizoram,289,460,749,51,109,160,1785,2017,3802,1924,2133,4057
Nagaland,90,109,199,44,57,101,1026,1038,2064,1250,1208,2458
Odisha,8116,6732,14848,1169,1600,2769,55498,41495,96993,55527,41503,97030
Puducherry,153,156,309,104,122,226,789,673,1462,822,721,1543
Punjab,4851,4117,8968,3272,3055,6327,33653,24732,58385,35423,25879,61302
Rajasthan,6747,4806,11553,5037,3454,8491,46886,33177,80063,47415,33375,80790
Sikkim,89,85,174,44,23,67,572,435,1007,651,479,1130
Tamil Nadu,18472,12811,31283,7659,6099,13758,84248,55929,140177,84661,56181,140842
Telangana,2584,2254,4838,460,462,922,18693,14270,32963,18748,14315,33063
Tripura,375,329,704,179,141,320,2204,1711,3915,2231,1718,3949
Uttar Pradesh,2229,1753,3982,1262,1380,2642,183731,138857,322588,183955,139014,322969
Uttarakhand,315,197,512,209,143,352,2697,1878,4575,2765,1915,4680
West Bengal,11039,9737,20776,3830,3962,7792,78230,63325,141555,80749,65046,145795
