India/State/ UT,Total Schools,"Schools having functional Smart Classrooms used forteaching with Digital Boards/ Smart Boards/ VirtualClassrooms/ Smart TV availability","Percentage of Schools having functional SmartClassrooms used for teaching with Digital Boards/ SmartBoards/ Virtual Classrooms/ Smart TV availability",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,305279,175041,22739,103107,4392,20.8,17.2,27.9,31.9,9.7
Andaman & Nicobar Islands,414,342,2,70,0,183,151,1,31,0,44.2,44.2,50,44.3,0
Andhra Pradesh,61680,45167,1202,15127,184,24004,15337,178,8455,34,38.9,34,14.8,55.9,18.5
Arunachal Pradesh,3543,2922,71,503,47,633,385,30,208,10,17.9,13.2,42.3,41.4,21.3
Assam,58876,44925,3386,5677,4888,2786,2039,18,719,10,4.7,4.5,0.5,12.7,0.2
Bihar,91447,75550,724,8053,7120,9396,5346,57,2721,1272,10.3,7.1,7.9,33.8,17.9
Chandigarh,230,119,7,77,27,191,101,7,66,17,83,84.9,100,85.7,63
Chhattisgarh,56333,48728,415,6931,259,9338,7621,31,1682,4,16.6,15.6,7.5,24.3,1.5
"Dadra & Nagar Haveli and Daman& Diu",459,387,8,63,1,264,218,7,39,0,57.5,56.3,87.5,61.9,0
Delhi,5488,2673,245,2570,0,3277,1439,75,1763,0,59.7,53.8,30.6,68.6,0
Goa,1504,806,558,140,0,317,54,204,59,0,21.1,6.7,36.6,42.1,0
Gujarat,53603,34651,5562,13387,3,29559,18965,3214,7378,2,55.1,54.7,57.8,55.1,66.7
Haryana,23561,14443,6,8315,797,9544,4425,2,4806,311,40.5,30.6,33.3,57.8,39
Himachal Pradesh,18062,15447,0,2613,2,4109,2880,0,1229,0,22.7,18.6,0,47,0
Jammu & Kashmir,24278,18785,1,5407,85,2984,1640,0,1337,7,12.3,8.7,0,24.7,8.2
Jharkhand,44596,35764,1149,1583,6100,4033,2203,77,656,1097,9,6.2,6.7,41.4,18
Karnataka,76090,49520,7029,19531,10,14028,5474,1238,7315,1,18.4,11.1,17.6,37.5,10
Kerala,15934,4811,7178,3095,850,8742,2865,3464,2118,295,54.9,59.6,48.3,68.4,34.7
Ladakh,979,841,27,111,0,221,176,1,44,0,22.6,20.9,3.7,39.6,0
Lakshadweep,37,37,0,0,0,19,19,0,0,0,51.4,51.4,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,18825,8647,78,9982,118,15.3,9.3,12.7,35.6,7.7
Maharashtra,108451,65431,23964,18723,333,61094,40576,10316,10067,135,56.3,62,43,53.8,40.5
Manipur,4627,2922,583,996,126,508,93,5,392,18,11,3.2,0.9,39.4,14.3
Meghalaya,14588,7778,4173,2121,516,472,67,227,145,33,3.2,0.9,5.4,6.8,6.4
Mizoram,3891,2567,230,1023,71,139,58,10,68,3,3.6,2.3,4.3,6.6,4.2
Nagaland,2717,1954,0,762,1,713,482,0,230,1,26.2,24.7,0,30.2,100
Odisha,61891,48767,5920,6062,1142,13455,9593,1864,1758,240,21.7,19.7,31.5,29,21
Puducherry,729,422,33,274,0,417,214,22,181,0,57.2,50.7,66.7,66.1,0
Punjab,27592,19245,447,7886,14,20551,16258,109,4183,1,74.5,84.5,24.4,53,7.1
Rajasthan,106670,69538,0,34497,2635,15761,6708,0,8965,88,14.8,9.6,0,26,3.3
Sikkim,1250,864,18,368,0,476,352,5,119,0,38.1,40.7,27.8,32.3,0
Tamil Nadu,58150,37658,8279,11969,244,4580,382,2,4194,2,7.9,1,0,35,0.8
Telangana,42476,29997,670,11707,102,8215,3587,84,4542,2,19.3,12,12.5,38.8,2
Tripura,4912,4245,43,367,257,332,222,6,95,9,6.8,5.2,14,25.9,3.5
Uttar Pradesh,251094,137003,8249,92348,13494,27711,11171,1286,14936,318,11,8.2,15.6,16.2,2.4
Uttarakhand,22618,16381,613,5140,484,4789,2996,104,1663,26,21.2,18.3,17,32.4,5.4
West Bengal,94402,82579,79,7887,3857,3613,2297,17,961,338,3.8,2.8,21.5,12.2,8.8
