India/State/ UT,Total Schools,"Schools having functional Mobile phones used forteaching purposes","Percentage of Schools having functional Mobile phonesused for teaching purposes",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,356819,221018,30581,98850,6370,24.2,21.7,38.1,29.9,14.9
Andaman & Nicobar Islands,412,340,2,70,0,52,28,0,24,0,12.6,8.2,0,34.3,0
Andhra Pradesh,61373,45000,991,15232,150,23386,16833,396,6105,52,38.1,37.4,40,40.1,34.7
Arunachal Pradesh,3490,2847,72,529,42,229,52,20,152,5,6.6,1.8,27.8,28.7,11.9
Assam,56630,45008,2267,5725,3630,8506,7411,108,871,116,15,16.5,4.8,15.2,3.2
Bihar,94686,78120,723,9167,6676,4506,777,16,2617,1096,4.8,1,2.2,28.5,16.4
Chandigarh,230,119,7,77,27,37,6,2,17,12,16.1,5,28.6,22.1,44.4
Chhattisgarh,56615,48803,414,7153,245,6233,4214,43,1956,20,11,8.6,10.4,27.3,8.2
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,150,126,2,22,0,34.7,35,25,34.9,0
Delhi,5497,2693,239,2565,0,2215,814,103,1298,0,40.3,30.2,43.1,50.6,0
Goa,1487,789,557,141,0,542,340,148,54,0,36.4,43.1,26.6,38.3,0
Gujarat,53626,34597,5535,13490,4,22759,16549,1638,4572,0,42.4,47.8,29.6,33.9,0
Haryana,23517,14374,5,8415,723,6710,2841,1,3542,326,28.5,19.8,20,42.1,45.1
Himachal Pradesh,17826,15217,0,2607,2,2787,2232,0,555,0,15.6,14.7,0,21.3,0
Jammu & Kashmir,24296,18785,1,5452,58,2820,1402,0,1409,9,11.6,7.5,0,25.8,15.5
Jharkhand,44475,35795,1146,1634,5900,4658,2845,103,417,1293,10.5,7.9,9,25.5,21.9
Karnataka,75869,49306,7013,19542,8,15638,9169,1733,4733,3,20.6,18.6,24.7,24.2,37.5
Kerala,15864,4809,7162,3082,811,4550,1004,2316,958,272,28.7,20.9,32.3,31.1,33.5
Ladakh,995,841,40,114,0,57,42,1,14,0,5.7,5,2.5,12.3,0
Lakshadweep,37,37,0,0,0,3,3,0,0,0,8.1,8.1,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,27842,15292,112,12015,423,22.6,16.5,19.3,41.6,28.5
Maharashtra,108237,65157,24173,18642,265,54936,34650,12755,7434,97,50.8,53.2,52.8,39.9,36.6
Manipur,4646,2934,584,1010,118,316,57,9,236,14,6.8,1.9,1.5,23.4,11.9
Meghalaya,14601,7779,4168,2152,502,395,165,120,87,23,2.7,2.1,2.9,4,4.6
Mizoram,3941,2587,230,1064,60,131,73,5,51,2,3.3,2.8,2.2,4.8,3.3
Nagaland,2725,1952,0,772,1,349,157,0,191,1,12.8,8,0,24.7,100
Odisha,61693,48671,5907,6042,1073,18570,14196,1639,2283,452,30.1,29.2,27.7,37.8,42.1
Puducherry,735,420,33,282,0,229,115,8,106,0,31.2,27.4,24.2,37.6,0
Punjab,27404,19242,444,7704,14,9312,6402,87,2821,2,34,33.3,19.6,36.6,14.3
Rajasthan,107757,70233,0,34729,2795,15412,7119,0,8158,135,14.3,10.1,0,23.5,4.8
Sikkim,1254,864,16,374,0,262,156,0,106,0,20.9,18.1,0,28.3,0
Tamil Nadu,58722,37672,8314,12481,255,55276,35436,7958,11666,216,94.1,94.1,95.7,93.5,84.7
Telangana,42901,30022,662,12126,91,9204,6052,101,3047,4,21.5,20.2,15.3,25.1,4.4
Tripura,4923,4238,42,395,248,551,443,7,86,15,11.2,10.5,16.7,21.8,6
Uttar Pradesh,255087,137102,8291,96635,13059,49857,28159,1050,19191,1457,19.5,20.5,12.7,19.9,11.2
Uttarakhand,22551,16201,614,5252,484,5438,3853,96,1425,64,24.1,23.8,15.6,27.1,13.2
West Bengal,93945,82307,72,7480,4086,2901,2005,4,631,261,3.1,2.4,5.6,8.4,6.4
